"id","repository_name","home_page","oai_pmh"
2734,DSPACE - Repositorio Digital Universidad Autonoma de Occidente: Página de inicio,http://bdigital.uao.edu.co,http://bdigital.uao.edu.co/oai/request
2735,Public Digital Archive of Agnieszka Osiecka,http://www.archiwumagnieszkiosieckiej.pl/,http://www.archiwumagnieszkiosieckiej.pl/dlibra/oai-pmh-repository.xml?verb=Identify
2736,Open Knowledge Repository,https://openknowledge.worldbank.org/,
2737,Digital Commons @Brockport,http://digitalcommons.brockport.edu/,
2738,Catalogue des thèses URCA,http://scdweb.univ-reims.fr/ipac20/ipac.jsp?profile=scdldap&amp;menu=search&amp;submenu=advanced,
2739,DigitalCommons@SHU,http://digitalcommons.sacredheart.edu/,
2740,Institutional Repository of the Federal University of Technology,http://dspace.futa.edu.ng:8080/jspui/,
2741,Kolbuszowa Digital Library,http://biblioteka.kolbuszowa.pl/dlibra,http://biblioteka.kolbuszowa.pl/dlibra/oai-pmh-repository.xml
2742,Tarnobrzeska Biblioteka Cyfrowa,http://tbc.tarnobrzeg.pl/dlibra,http://tbc.tarnobrzeg.pl/dlibra/oai-pmh-repository.xml
2743,SIRE: Scottish Institute for Research in Economics,http://repo.sire.ac.uk/,http://repo.sire.ac.uk/oai/
2744,"CEDIAS-Musée social, bibliothèque numérique",http://cediasbibli.org/opac,http://pmb.cediasbibli.org/ws/CEDIAS_4
2745,UP,http://up.unipg.it,
2746,eprints STMIK GI MDP,http://eprints.mdp.ac.id,http://eprints.mdp.ac.id/cgi/oai2
2747,Iverieli: Digital repository of National Parliamentary Library of Georgia,http://dspace.nplg.gov.ge/,http://dspace.nplg.gov.ge/oai
2748,PIK Publications,http://edoc.gfz-potsdam.de/pik/,http://bib-app.gfz-potsdam.de/pik/oai.php
2749,DSpace at Lancaster Theological Seminary,http://dspace.lancasterseminary.edu/jspui/,
2750,"EPrint Series of Department of Mathematics, Hokkaido University",http://eprints3.math.sci.hokudai.ac.jp/,http://eprints3.math.sci.hokudai.ac.jp/cgi/oai2
2751,Borneo University Repository,http://repository.borneo.ac.id/,http://repository.borneo.ac.id/oai/request
2752,Repositorio Institucional Universidad Católica de Colombia,http://repository.ucatolica.edu.co/,http://repository.ucatolica.edu.co/oai/request
2753,RIUCaC (Repositorio Institucional Universidad Católica de Colombia),http://repository.ucatolica.edu.co,http://repository.ucatolica.edu.co/oai/request
2754,Tesis de Posgrado de la Universidad del Zulia,http://tesis.luz.edu.ve,http://tesis.luz.edu.ve/tde_oai/oai2.php
2755,Repositori Universitas Muria Kudus,http://umk.ac.id,http://eprints.umk.ac.id/
2756,Archivio Istituzionale Università della Calabria,http://dspace.unical.it/,
2757,Institute Repository of TianJin Institute of Industrial Biotechnology,http://124.16.173.210/,
2758,ESRC Research Catalogue,http://www.esrc.ac.uk/impacts-and-findings/research-catalogue/index.aspx,
2759,EprintsUnife,http://eprints.unife.it/tesi/,http://eprints.unife.it/tesi/cgi/oai2
2760,York St John University ArchivalWare Digital Library,http://w3.yorksj.ac.uk/information-learning-services/library/find-resources/digital-archive.aspx,http://digarch.yorksj.ac.uk/awweb/oai
2761,Dalarna University College Electronic Archive,http://du.diva-portal.org/smash/search.jsf,http://du.diva-portal.org/dice/oai
2762,Kaleidoscope Open Archive,http://telearn.archives-ouvertes.fr/,http://www.telearn.org/open-archive/oai
